Tactic,TechniqueName,STRIDE,CIA,STRIDE,CIA3A
Reconnaissance,Active Scanning,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Reconnaissance,Gather Victim Host Information,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Reconnaissance,Gather Victim Identity Information,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Reconnaissance,Gather Victim Network Information,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Reconnaissance,Gather Victim Org Information,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Reconnaissance,Phishing for Information,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Reconnaissance,Search Closed Sources,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Reconnaissance,Search Open Technical Databases,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Reconnaissance,Search Open Websites/Domains,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Reconnaissance,Search Victim-Owned Websites,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Resource Development,Acquire Access,Information Disclosure,Confidentiality,Elevation of Privilege,Authorization
Resource Development,Acquire Infrastructure,Elevation of Privilege,Availability,Elevation of Privilege,Authorization
Resource Development,Compromise Accounts,Spoofing,Confidentiality,Elevation of Privilege,Authorization
Resource Development,Compromise Infrastructure,Elevation of Privilege,Availability,Elevation of Privilege,Authorization
Resource Development,Develop Capabilities,Tampering,Integrity,Elevation of Privilege,Authorization
Resource Development,Establish Accounts,Spoofing,Confidentiality,Spoofing,Authenticity
Resource Development,Obtain Capabilities,Tampering,Integrity,Elevation of Privilege,Authorization
Resource Development,Stage Capabilities,Tampering,Integrity,Tampering,Integrity
Initial Access,Content Injection,Tampering,Integrity,Tampering,Integrity
Initial Access,Drive-by Compromise,Elevation of Privilege,Confidentiality,Tampering,Integrity
Initial Access,Exploit Public-Facing Application,Elevation of Privilege,Confidentiality,Tampering,Integrity
Initial Access,External Remote Services,Elevation of Privilege,Confidentiality,Spoofing,Authenticity
Initial Access,Hardware Additions,Elevation of Privilege,Confidentiality,Tampering,Integrity
Initial Access,Phishing,Spoofing,Confidentiality,Spoofing,Authenticity
Initial Access,Replication Through Removable Media,Tampering,Integrity,Tampering,Integrity
Initial Access,Supply Chain Compromise,Tampering,Integrity,Tampering,Integrity
Initial Access,Trusted Relationship,Spoofing,Confidentiality,Spoofing,Authenticity
Initial Access,Valid Accounts,Spoofing,Confidentiality,Elevation of Privilege,Authorization
Initial Access,WiFi Networks,Spoofing,Confidentiality,Spoofing,Authenticity
Execution,Cloud Administration Command,Elevation of Privilege,Confidentiality,Elevation of Privilege,Authorization
Execution,Command and Scripting Interpreter,Elevation of Privilege,Integrity,Tampering,Integrity
Execution,Container Administration Command,Elevation of Privilege,Confidentiality,Elevation of Privilege,Authorization
Execution,Deploy Container,Elevation of Privilege,Confidentiality,Tampering,Integrity
Execution,ESXi Administration Command,Elevation of Privilege,Confidentiality,Elevation of Privilege,Authorization
Execution,Exploitation for Client Execution,Elevation of Privilege,Confidentiality,Tampering,Integrity
Execution,Input Injection,Tampering,Integrity,Tampering,Integrity
Execution,Inter-Process Communication,Elevation of Privilege,Integrity,Tampering,Integrity
Execution,Native API,Elevation of Privilege,Integrity,Tampering,Integrity
Execution,Scheduled Task/Job,Elevation of Privilege,Integrity,Tampering,Integrity
Execution,Serverless Execution,Elevation of Privilege,Confidentiality,Elevation of Privilege,Authorization
Execution,Shared Modules,Elevation of Privilege,Integrity,Tampering,Integrity
Execution,Software Deployment Tools,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Execution,System Services,Elevation of Privilege,Integrity,Tampering,Integrity
Execution,User Execution,Spoofing,Confidentiality,Spoofing,Authenticity
Execution,Windows Management Instrumentation,Elevation of Privilege,Integrity,Tampering,Integrity
Persistence,Account Manipulation,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Persistence,BITS Jobs,Elevation of Privilege,Integrity,Tampering,Integrity
Persistence,Boot or Logon Autostart Execution,Elevation of Privilege,Integrity,Tampering,Integrity
Persistence,Boot or Logon Initialization Scripts,Elevation of Privilege,Integrity,Tampering,Integrity
Persistence,Cloud Application Integration,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Persistence,Compromise Host Software Binary,Tampering,Integrity,Tampering,Integrity
Persistence,Create Account,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Persistence,Create or Modify System Process,Elevation of Privilege,Integrity,Tampering,Integrity
Persistence,Event Triggered Execution,Elevation of Privilege,Integrity,Tampering,Integrity
Persistence,Exclusive Control,Tampering,Integrity,Tampering,Integrity
Persistence,External Remote Services,Elevation of Privilege,Confidentiality,Spoofing,Authenticity
Persistence,Hijack Execution Flow,Elevation of Privilege,Integrity,Tampering,Integrity
Persistence,Implant Internal Image,Tampering,Integrity,Tampering,Integrity
Persistence,Modify Authentication Process,Tampering,Integrity,Elevation of Privilege,Authorization
Persistence,Modify Registry,Tampering,Integrity,Tampering,Integrity
Persistence,Office Application Startup,Elevation of Privilege,Integrity,Tampering,Integrity
Persistence,Power Settings,Denial of Service,Availability,Denial of Services,Availability
Persistence,Pre-OS Boot,Elevation of Privilege,Integrity,Tampering,Integrity
Persistence,Scheduled Task/Job,Elevation of Privilege,Integrity,Tampering,Integrity
Persistence,Server Software Component,Elevation of Privilege,Integrity,Tampering,Integrity
Persistence,Software Extensions,Tampering,Integrity,Tampering,Integrity
Persistence,Traffic Signaling,Tampering,Integrity,Denial of Services,Availability
Persistence,Valid Accounts,Spoofing,Confidentiality,Elevation of Privilege,Authorization
Privilege Escalation,Abuse Elevation Control Mechanism,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Privilege Escalation,Access Token Manipulation,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Privilege Escalation,Account Manipulation,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Privilege Escalation,Boot or Logon Autostart Execution,Elevation of Privilege,Integrity,Tampering,Integrity
Privilege Escalation,Boot or Logon Initialization Scripts,Elevation of Privilege,Integrity,Tampering,Integrity
Privilege Escalation,Create or Modify System Process,Elevation of Privilege,Integrity,Tampering,Integrity
Privilege Escalation,Domain or Tenant Policy Modification,Tampering,Integrity,Tampering,Integrity
Privilege Escalation,Escape to Host,Elevation of Privilege,Confidentiality,Elevation of Privilege,Authorization
Privilege Escalation,Event Triggered Execution,Elevation of Privilege,Integrity,Tampering,Integrity
Privilege Escalation,Exploitation for Privilege Escalation,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Privilege Escalation,Hijack Execution Flow,Elevation of Privilege,Integrity,Tampering,Integrity
Privilege Escalation,Process Injection,Elevation of Privilege,Integrity,Tampering,Integrity
Privilege Escalation,Scheduled Task/Job,Elevation of Privilege,Integrity,Tampering,Integrity
Privilege Escalation,Valid Accounts,Spoofing,Confidentiality,Elevation of Privilege,Authorization
Defense Evasion,Abuse Elevation Control Mechanism,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Defense Evasion,Access Token Manipulation,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Defense Evasion,BITS Jobs,Elevation of Privilege,Integrity,Tampering,Integrity
Defense Evasion,Build Image on Host,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Debugger Evasion,Repudiation,Integrity,Tampering,Integrity
Defense Evasion,Deobfuscate/Decode Files or Information,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Deploy Container,Elevation of Privilege,Confidentiality,Tampering,Integrity
Defense Evasion,Direct Volume Access,Elevation of Privilege,Integrity,Tampering,Integrity
Defense Evasion,Domain or Tenant Policy Modification,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Email Spoofing,Spoofing,Confidentiality,Spoofing,Authenticity
Defense Evasion,Execution Guardrails,Repudiation,Integrity,Tampering,Integrity
Defense Evasion,Exploitation for Defense Evasion,Elevation of Privilege,Integrity,Tampering,Integrity
Defense Evasion,File and Directory Permissions Modification,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Hide Artifacts,Repudiation,Integrity,Tampering,Integrity
Defense Evasion,Hijack Execution Flow,Elevation of Privilege,Integrity,Tampering,Integrity
Defense Evasion,Impair Defenses,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Impersonation,Spoofing,Confidentiality,Spoofing,Authenticity
Defense Evasion,Indicator Removal,Repudiation,Integrity,Tampering,Integrity
Defense Evasion,Indirect Command Execution,Elevation of Privilege,Integrity,Tampering,Integrity
Defense Evasion,Masquerading,Spoofing,Confidentiality,Tampering,Integrity
Defense Evasion,Modify Authentication Process,Tampering,Integrity,Elevation of Privilege,Authorization
Defense Evasion,Modify Cloud Compute Infrastructure,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Modify Cloud Resource Hierarchy,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Modify Registry,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Modify System Image,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Network Boundary Bridging,Elevation of Privilege,Confidentiality,Tampering,Integrity
Defense Evasion,Obfuscated Files or Information,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Plist File Modification,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Pre-OS Boot,Elevation of Privilege,Integrity,Tampering,Integrity
Defense Evasion,Process Injection,Elevation of Privilege,Integrity,Tampering,Integrity
Defense Evasion,Reflective Code Loading,Elevation of Privilege,Integrity,Tampering,Integrity
Defense Evasion,Rogue Domain Controller,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Rootkit,Repudiation,Integrity,Tampering,Integrity
Defense Evasion,Subvert Trust Controls,Spoofing,Integrity,Spoofing,Authenticity
Defense Evasion,System Binary Proxy Execution,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Defense Evasion,System Script Proxy Execution,Elevation of Privilege,Integrity,Elevation of Privilege,Authorization
Defense Evasion,Template Injection,Tampering,Integrity,Tampering,Integrity
Defense Evasion,Traffic Signaling,Tampering,Integrity,Denial of Services,Availability
Defense Evasion,Trusted Developer Utilities Proxy Execution,Elevation of Privilege,Integrity,Tampering,Integrity
Defense Evasion,Unused/Unsupported Cloud Regions,Elevation of Privilege,Confidentiality,Tampering,Integrity
Defense Evasion,Use Alternate Authentication Material,Spoofing,Confidentiality,Elevation of Privilege,Authorization
Defense Evasion,Valid Accounts,Spoofing,Confidentiality,Elevation of Privilege,Authorization
Defense Evasion,Virtualization/Sandbox Evasion,Repudiation,Integrity,Tampering,Integrity
Defense Evasion,Weaken Encryption,Tampering,Confidentiality,Information Disclosure,Confidentiality
Defense Evasion,XSL Script Processing,Elevation of Privilege,Integrity,Tampering,Integrity
Credential Access,Adversary-in-the-Middle,Tampering,Confidentiality,Information Disclosure,Confidentiality
Credential Access,Brute Force,Elevation of Privilege,Confidentiality,Spoofing,Authorization
Credential Access,Credentials from Password Stores,Elevation of Privilege,Confidentiality,Information Disclosure,Confidentiality
Credential Access,Exploitation for Credential Access,Elevation of Privilege,Confidentiality,Information Disclosure,Confidentiality
Credential Access,Forced Authentication,Spoofing,Confidentiality,Information Disclosure,Confidentiality
Credential Access,Forge Web Credentials,Spoofing,Integrity,Spoofing,Authorization
Credential Access,Input Capture,Spoofing,Confidentiality,Information Disclosure,Confidentiality
Credential Access,Modify Authentication Process,Tampering,Integrity,Elevation of Privilege,Authorization
Credential Access,Multi-Factor Authentication Interception,Spoofing,Confidentiality,Spoofing,Authenticity
Credential Access,Multi-Factor Authentication Request Generation,Spoofing,Integrity,Spoofing,Authenticity
Credential Access,Network Sniffing,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Credential Access,OS Credential Dumping,Elevation of Privilege,Confidentiality,Information Disclosure,Confidentiality
Credential Access,Steal Application Access Token,Spoofing,Confidentiality,Information Disclosure,Confidentiality
Credential Access,Steal or Forge Authentication Certificates,Spoofing,Integrity,Spoofing,Authenticity
Credential Access,Steal or Forge Kerberos Tickets,Spoofing,Integrity,Spoofing,Authenticity
Credential Access,Steal Web Session Cookie,Spoofing,Confidentiality,Information Disclosure,Confidentiality
Credential Access,Unsecured Credentials,Spoofing,Confidentiality,Information Disclosure,Confidentiality
Discovery,Account Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Application Window Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Browser Information Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Cloud Infrastructure Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Cloud Service Dashboard,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Cloud Service Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Cloud Storage Object Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Container and Resource Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Debugger Evasion,Tampering,Confidentiality,Tampering,Integrity
Discovery,Device Driver Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Domain Trust Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,File and Directory Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Group Policy Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Log Enumeration,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Network Service Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Network Share Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Network Sniffing,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Password Policy Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Peripheral Device Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Permission Groups Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Process Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Query Registry,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Remote System Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Software Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,System Information Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,System Location Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,System Network Configuration Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,System Network Connections Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,System Owner/User Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,System Service Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,System Time Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Virtual Machine Discovery,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Discovery,Virtualization/Sandbox Evasion,Tampering,Confidentiality,Tampering,Integrity
Lateral Movement,Exploitation of Remote Services,Elevation of Privilege,Integrity,Tampering,Integrity
Lateral Movement,Internal Spearphishing,Spoofing,Confidentiality,Spoofing,Authenticity
Lateral Movement,Lateral Tool Transfer,Tampering,Integrity,Tampering,Integrity
Lateral Movement,Remote Service Session Hijacking,Tampering,Confidentiality,Spoofing,Authenticity
Lateral Movement,Remote Services,Elevation of Privilege,Confidentiality,Spoofing,Authenticity
Lateral Movement,Replication Through Removable Media,Tampering,Integrity,Tampering,Integrity
Lateral Movement,Software Deployment Tools,Elevation of Privilege,Integrity,Tampering,Integrity
Lateral Movement,Taint Shared Content,Tampering,Integrity,Tampering,Integrity
Lateral Movement,Use Alternate Authentication Material,Elevation of Privilege,Confidentiality,Spoofing,Authenticity
Collection,Adversary-in-the-Middle,Tampering,Confidentiality,Spoofing,Authenticity
Collection,Archive Collected Data,Tampering,Confidentiality,Information Disclosure,Confidentiality
Collection,Audio Capture,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Collection,Automated Collection,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Collection,Browser Session Hijacking,Tampering,Confidentiality,Tampering,Integrity
Collection,Clipboard Data,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Collection,Data from Cloud Storage,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Collection,Data from Configuration Repository,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Collection,Data from Information Repositories,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Collection,Data from Local System,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Collection,Data from Network Shared Drive,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Collection,Data from Removable Media,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Collection,Data Staged,Tampering,Confidentiality,Information Disclosure,Confidentiality
Collection,Email Collection,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Collection,Input Capture,Spoofing,Confidentiality,Information Disclosure,Confidentiality
Collection,Screen Capture,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Collection,Video Capture,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Command and Control,Application Layer Protocol,Tampering,Confidentiality,Denial of Services,Availability
Command and Control,Communication Through Removable Media,Tampering,Confidentiality,Tampering,Integrity
Command and Control,Content Injection,Tampering,Integrity,Tampering,Integrity
Command and Control,Data Encoding,Tampering,Confidentiality,Tampering,Integrity
Command and Control,Data Obfuscation,Tampering,Confidentiality,Tampering,Integrity
Command and Control,Dynamic Resolution,Tampering,Confidentiality,Tampering,Integrity
Command and Control,Encrypted Channel,Tampering,Confidentiality,Information Disclosure,Confidentiality
Command and Control,Fallback Channels,Tampering,Confidentiality,Denial of Services,Availability
Command and Control,Hide Infrastructure,Tampering,Confidentiality,Tampering,Integrity
Command and Control,Ingress Tool Transfer,Tampering,Integrity,Tampering,Integrity
Command and Control,Multi-Stage Channels,Tampering,Confidentiality,Tampering,Integrity
Command and Control,Non-Application Layer Protocol,Tampering,Confidentiality,Tampering,Integrity
Command and Control,Non-Standard Port,Tampering,Confidentiality,Tampering,Integrity
Command and Control,Protocol Tunneling,Tampering,Confidentiality,Tampering,Integrity
Command and Control,Proxy,Tampering,Confidentiality,Tampering,Integrity
Command and Control,Remote Access Software,Tampering,Confidentiality,Spoofing,Authenticity
Command and Control,Traffic Signaling,Tampering,Confidentiality,Tampering,Integrity
Command and Control,Web Service,Tampering,Confidentiality,Tampering,Integrity
Exfiltration,Automated Exfiltration,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Exfiltration,Data Transfer Size Limits,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Exfiltration,Exfiltration Over Alternative Protocol,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Exfiltration,Exfiltration Over C2 Channel,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Exfiltration,Exfiltration Over Other Network Medium,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Exfiltration,Exfiltration Over Physical Medium,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Exfiltration,Exfiltration Over Web Service,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Exfiltration,Scheduled Transfer,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Exfiltration,Transfer Data to Cloud Account,Information Disclosure,Confidentiality,Information Disclosure,Confidentiality
Impact,Account Access Removal,Denial of Service,Availability,Denial of Services,Availability
Impact,Data Destruction,Denial of Service,Availability,Denial of Services,Availability
Impact,Data Encrypted for Impact,Denial of Service,Availability,Denial of Services,Availability
